## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /nobackup/lab_ccri_bicu/internal/ccasey/projects/core/Introduction_to_Scientific_Computing/session_3/exercise_3/expected_outputs/results/02_bwa/SRR7890883.chr17_50k.cram --OUTPUT /nobackup/lab_ccri_bicu/internal/ccasey/projects/core/Introduction_to_Scientific_Computing/session_3/exercise_3/expected_outputs/results/03_markdup/SRR7890883.chr17_50k.markdup.cram --METRICS_FILE /nobackup/lab_ccri_bicu/internal/ccasey/projects/core/Introduction_to_Scientific_Computing/session_3/exercise_3/expected_outputs/results/03_markdup/SRR7890883.markdup.metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --REFERENCE_SEQUENCE /nobackup/lab_ccri_bicu/internal/ccasey/projects/core/Introduction_to_Scientific_Computing/example_data/ref/Homo_sapiens_assembly38.chr17.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 30 13:41:52 CEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2621	47377	129	2621	32	466	0	0.0099	2392529

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	46454	46454
2.0	1.980393	449	449
3.0	2.941563	7	7
4.0	3.883887	1	1
5.0	4.807734	0	0
6.0	5.713467	0	0
7.0	6.601442	0	0
8.0	7.472005	0	0
9.0	8.3255	0	0
10.0	9.162259	0	0
11.0	9.982612	0	0
12.0	10.78688	0	0
13.0	11.575379	0	0
14.0	12.348417	0	0
15.0	13.106298	0	0
16.0	13.849319	0	0
17.0	14.577772	0	0
18.0	15.291941	0	0
19.0	15.992108	0	0
20.0	16.678546	0	0
21.0	17.351525	0	0
22.0	18.011309	0	0
23.0	18.658156	0	0
24.0	19.29232	0	0
25.0	19.91405	0	0
26.0	20.523589	0	0
27.0	21.121177	0	0
28.0	21.707048	0	0
29.0	22.281432	0	0
30.0	22.844554	0	0
31.0	23.396634	0	0
32.0	23.93789	0	0
33.0	24.468533	0	0
34.0	24.988771	0	0
35.0	25.498809	0	0
36.0	25.998847	0	0
37.0	26.48908	0	0
38.0	26.969701	0	0
39.0	27.440898	0	0
40.0	27.902857	0	0
41.0	28.355757	0	0
42.0	28.799778	0	0
43.0	29.235092	0	0
44.0	29.661872	0	0
45.0	30.080283	0	0
46.0	30.49049	0	0
47.0	30.892654	0	0
48.0	31.286933	0	0
49.0	31.673481	0	0
50.0	32.05245	0	0
51.0	32.423989	0	0
52.0	32.788242	0	0
53.0	33.145354	0	0
54.0	33.495464	0	0
55.0	33.838708	0	0
56.0	34.175223	0	0
57.0	34.50514	0	0
58.0	34.828588	0	0
59.0	35.145694	0	0
60.0	35.456582	0	0
61.0	35.761375	0	0
62.0	36.060191	0	0
63.0	36.353149	0	0
64.0	36.640362	0	0
65.0	36.921944	0	0
66.0	37.198005	0	0
67.0	37.468653	0	0
68.0	37.733994	0	0
69.0	37.994133	0	0
70.0	38.249171	0	0
71.0	38.499209	0	0
72.0	38.744344	0	0
73.0	38.984673	0	0
74.0	39.220289	0	0
75.0	39.451285	0	0
76.0	39.677753	0	0
77.0	39.89978	0	0
78.0	40.117453	0	0
79.0	40.330859	0	0
80.0	40.54008	0	0
81.0	40.745199	0	0
82.0	40.946297	0	0
83.0	41.143451	0	0
84.0	41.336739	0	0
85.0	41.526238	0	0
86.0	41.712021	0	0
87.0	41.894162	0	0
88.0	42.072731	0	0
89.0	42.247799	0	0
90.0	42.419434	0	0
91.0	42.587704	0	0
92.0	42.752675	0	0
93.0	42.914411	0	0
94.0	43.072976	0	0
95.0	43.228432	0	0
96.0	43.38084	0	0
97.0	43.530259	0	0
98.0	43.676749	0	0
99.0	43.820366	0	0
100.0	43.961168	0	0

